time,open,high,low,close,Volume,Volume MA
1406246400,603.96,609.65,592.97,602.93,NaN,NaN
1406332800,602.93,603,590,596.23,NaN,NaN
1406419200,596.23,602.83,589,590.3,NaN,NaN
1406505600,592.61,596,570.5,586.53,NaN,NaN
1406592000,589.88,591.95,578,585.95,NaN,NaN
1406678400,585.93,586,557.12,563.84,NaN,NaN
1406764800,563.83,590,555.9,582.04,NaN,NaN
1406851200,583.54,607.2,581.77,598.2,NaN,NaN
1406937600,597.84,599.09,584.95,589.59,NaN,NaN
1407024000,589.6,591,578.21,588.73,NaN,NaN
1407110400,587.53,595.7,581.8,588.5,NaN,NaN
1407196800,588.5,589,578.25,581.76,NaN,NaN
1407283200,581.75,586.36,576.44,581.16,NaN,NaN
1407369600,581.16,591.9,579,585.84,NaN,NaN
1407456000,585.84,595,584,588.02,NaN,NaN
1407542400,588.99,591.35,585.21,587.97,NaN,NaN
1407628800,589.82,597,586,590.96,NaN,NaN
1407715200,590.98,590.99,571,573.98,NaN,NaN
1407801600,574.55,574.59,561.9,566.69,NaN,NaN
1407888000,569.39,572,524.55,548.81,NaN,NaN
1407974400,549.85,551.86,497,507.99,NaN,NaN
1408060800,507.99,521.79,481.55,500.25,NaN,NaN
1408147200,502.48,529.8,485,521.97,NaN,NaN
1408233600,523.47,524.8,485.39,496.86,NaN,NaN
1408320000,498,510,442,475.22,NaN,NaN
1408406400,474.74,493,453.01,485.57,NaN,NaN
1408492800,491.98,527.01,466,516.39,NaN,NaN
1408579200,516.39,534.14,510,519.28,NaN,NaN
1408665600,519.29,528,500.01,514.65,NaN,NaN
1408752000,514.65,514.69,487,497,NaN,NaN
1408838400,496.96,515.95,495.02,507.85,NaN,NaN
1408924800,507.84,508.46,496.79,503.82,NaN,NaN
1409011200,503.74,516,502.27,512.18,NaN,NaN
1409097600,514.4,523.09,510,511.87,NaN,NaN
1409184000,511.87,514.98,505.93,506,NaN,NaN
1409270400,506.94,514.98,501.25,509.3,NaN,NaN
1409356800,509.3,509.42,498.13,500.85,NaN,NaN
1409443200,501.49,504.75,473.33,479.04,NaN,NaN
1409529600,479.01,490,472.01,474.54,NaN,NaN
1409616000,475.89,484.61,470.42,474.5,NaN,NaN
1409702400,474.5,477.99,471,474.89,NaN,NaN
1409788800,474.86,497,471.04,487.43,NaN,NaN
1409875200,489.61,489.96,473.03,477.65,NaN,NaN
1409961600,477.65,485,477.16,479.78,NaN,NaN
1410048000,479.99,483,474.95,475.43,NaN,NaN
1410134400,477.4,478.39,456.3,468.33,NaN,NaN
1410220800,468.32,476.4,459.18,473.2,NaN,NaN
1410307200,473.34,492,473.32,476.57,NaN,NaN
1410393600,477.78,480,465,475.9,NaN,NaN
1410480000,477.43,478,462,474.62,NaN,NaN
1410566400,473.08,480.13,467.43,477.98,NaN,NaN
1410652800,477.99,481.58,473.59,475.49,NaN,NaN
1410739200,475.47,479.62,467.76,469.47,NaN,NaN
1410825600,469.47,473.69,462,462.02,NaN,NaN
1410912000,463.48,465.57,443.57,452.09,NaN,NaN
1410998400,452.99,452.99,407.94,425,NaN,NaN
1411084800,426.62,429,378.78,395.86,NaN,NaN
1411171200,395.86,431.11,390,408.76,NaN,NaN
1411257600,410.92,413.53,390,399.55,NaN,NaN
1411344000,400.77,409.38,396.26,400.07,NaN,NaN
1411430400,399.77,452.67,393.6,438.97,NaN,NaN
1411516800,440.85,441.78,418.83,423.68,NaN,NaN
1411603200,423.57,423.9,400,408.76,NaN,NaN
1411689600,410,414.35,396.53,403.57,NaN,NaN
1411776000,405.08,408.99,396.57,401.77,NaN,NaN
1411862400,399.16,403.99,368.9,375.35,NaN,NaN
1411948800,375.35,386.03,365.2,374.2,NaN,NaN
1412035200,374.17,397.75,371.8,391.09,NaN,NaN
1412121600,389.56,393.79,377.01,384.86,NaN,NaN
1412208000,384.85,385.82,372,374.68,NaN,NaN
1412294400,376.29,378.11,353.75,358.74,NaN,NaN
1412380800,358.71,365.07,322.04,326.21,NaN,NaN
1412467200,326.24,339.43,275,323.52,NaN,NaN
1412553600,322.82,347,295.89,328.59,NaN,NaN
1412640000,328.56,336.99,312.37,334.8,NaN,NaN
1412726400,334.8,359,326.93,355.73,NaN,NaN
1412812800,355.73,395.55,349,364.01,NaN,NaN
1412899200,364.01,380.08,351.1,360.89,NaN,NaN
1412985600,360.85,368.06,352.1,362,NaN,NaN
1413072000,362.77,383.6,354.71,378.11,NaN,NaN
1413158400,378.48,405,368.07,392.6,NaN,NaN
1413244800,392.99,417.99,390.48,403.38,NaN,NaN
1413331200,402.01,404.32,385.92,394.52,NaN,NaN
1413417600,394.52,399,370.1,383.95,NaN,NaN
1413504000,384.19,386,370.96,383.65,NaN,NaN
1413590400,383.2,397.29,377,390.58,NaN,NaN
1413676800,390.59,394.25,385,387.53,NaN,NaN
1413763200,389.06,390.65,376.2,381.21,NaN,NaN
1413849600,381,393.52,378.98,385.81,NaN,NaN
1413936000,385.79,388.87,380,382.04,NaN,NaN
1414022400,382.05,384.55,352.4,357.18,NaN,NaN
1414108800,356.81,363.71,344.34,358.86,NaN,NaN
1414195200,358.78,359.1,341.22,348.69,NaN,NaN
1414281600,348.69,363,344.5,355.18,NaN,NaN
1414368000,355.19,358.65,349.21,350,NaN,NaN
1414454400,351.03,357.7,350.09,355.2,NaN,NaN
1414540800,355.71,355.99,333.33,335.7,NaN,NaN
1414627200,336.37,352.83,332.99,346.14,NaN,NaN
1414713600,346.14,347.96,335.5,337.99,NaN,NaN
1414800000,337.99,339.47,316.61,324.7,NaN,NaN
1414886400,324.55,329,318.24,324.36,NaN,NaN
1414972800,324.23,333.99,322.74,325.5,NaN,NaN
1415059200,326.45,332.9,320,330.22,NaN,NaN
1415145600,329.96,344.17,328.8,338.38,NaN,NaN
1415232000,338.37,353.1,336.27,349.99,NaN,NaN
1415318400,349.99,352.15,340.4,342.16,NaN,NaN
1415404800,342.16,347.75,340.6,345.39,NaN,NaN
1415491200,346.19,366.35,343.4,364.77,NaN,NaN
1415577600,365.37,377.77,357.3,366.43,NaN,NaN
1415664000,366.43,371.52,360.28,370.65,NaN,NaN
1415750400,370.09,434.8,369.85,426.02,NaN,NaN
1415836800,426.63,453.92,381.55,420.93,NaN,NaN
1415923200,417.85,420.3,382.95,399.98,NaN,NaN
1416009600,399.97,407.22,369,376.99,NaN,NaN
1416096000,376.97,395,375,389.86,NaN,NaN
1416182400,389.86,415,375,387.69,NaN,NaN
1416268800,388.72,394.64,371,374.88,NaN,NaN
1416355200,374.87,386.39,371.7,379.03,NaN,NaN
1416441600,379.04,381.8,351.8,356.47,NaN,NaN
1416528000,356.47,358.49,342.05,351.2,NaN,NaN
1416614400,351.19,365.93,350.7,353.12,NaN,NaN
1416700800,354.29,373.5,353.01,367.17,NaN,NaN
1416787200,367.17,389.99,366.67,375.99,NaN,NaN
1416873600,375.99,395.11,374.31,377.37,NaN,NaN
1416960000,377.05,379.22,363.38,368.5,NaN,NaN
1417046400,368.5,375.33,366.37,369.98,NaN,NaN
1417132800,369.98,381.34,358,376.86,NaN,NaN
1417219200,376,386.6,372.25,375.49,NaN,NaN
1417305600,375.48,381.99,373.32,377.01,NaN,NaN
1417392000,376.09,382.31,373.03,376.53,NaN,NaN
1417478400,376.53,382.86,375.23,379.52,NaN,NaN
1417564800,379.52,383,374.01,375.33,NaN,NaN
1417651200,376.61,378.99,360,369.16,NaN,NaN
1417737600,369.89,377.89,365.61,376,NaN,NaN
1417824000,376,376.99,371.31,374.38,NaN,NaN
1417910400,375.05,377.5,373.16,377.26,NaN,NaN
1417996800,376.03,377.26,359.01,361.3,NaN,NaN
1418083200,362.74,364.59,343.97,352.03,NaN,NaN
1418169600,352.02,353.74,345,345.21,NaN,NaN
1418256000,345.22,364.43,339.8,348.9,NaN,NaN
1418342400,348.88,358.59,348,352.24,NaN,NaN
1418428800,353.33,354.41,347.03,351.67,NaN,NaN
1418515200,351.67,359.3,347.44,356.52,NaN,NaN
1418601600,357.3,357.3,346.21,349,NaN,NaN
1418688000,348.85,349.35,327.34,329.05,NaN,NaN
1418774400,329.05,335.99,315.23,322,NaN,NaN
1418860800,321.96,325.61,304.99,312.67,NaN,NaN
1418947200,312.65,320,307.11,318.33,NaN,NaN
1419033600,318.58,333,316.52,331.79,NaN,NaN
1419120000,331.77,332.31,318.78,320.01,NaN,NaN
1419206400,320.88,333.99,319.9,331.56,NaN,NaN
1419292800,332.52,338.99,327.49,336.92,NaN,NaN
1419379200,336.9,336.9,320.92,323.06,NaN,NaN
1419465600,323.03,323.72,316.63,319.86,NaN,NaN
1419552000,319.85,332,316.64,328.27,NaN,NaN
1419638400,329.31,329.31,311.63,316.47,NaN,NaN
1419724800,316.48,319.56,311.22,317.64,NaN,NaN
1419811200,317.64,320.14,310.26,313.01,NaN,NaN
1419897600,313.36,316.77,310,311.07,NaN,NaN
1419984000,311.1,321,310.69,321,NaN,NaN
1420070400,321,321,312.6,313.81,NaN,NaN
1420156800,313.82,317.01,311.96,315.42,NaN,NaN
1420243200,315.42,316.58,280,282,NaN,NaN
1420329600,280,289.39,255,264,NaN,NaN
1420416000,264.55,280,264.07,276.8,NaN,NaN
1420761600,272.45,305,272.45,293.97,NaN,NaN
1420848000,293.89,295,271.03,275.59,NaN,NaN
1420934400,275.6,280.94,262.08,266.39,NaN,NaN
1421020800,266.34,272.43,263.54,267.42,NaN,NaN
1421107200,267.1,268.15,216,227,NaN,NaN
1421193600,227.01,230.89,152.4,171.41,NaN,NaN
1421280000,172,233.9,168.5,210.98,NaN,NaN
1421366400,210.69,223.15,198.04,208.03,NaN,NaN
1421452800,208.02,212.84,192.17,199.69,NaN,NaN
1421539200,199.69,222,195.02,211.85,NaN,NaN
1421625600,211.8,220.94,207.7,216.34,NaN,NaN
1421712000,216.01,216.81,201.98,210.65,NaN,NaN
1421798400,211.94,228.9,205,227.16,NaN,NaN
1421884800,227.75,239,226.01,234.08,NaN,NaN
1421971200,234.08,240,225.55,233.64,NaN,NaN
1422057600,233.42,249.99,230.03,249.19,NaN,NaN
1422144000,249.33,257,241.33,255.31,NaN,NaN
1422230400,254.67,309.9,254.67,274.8,NaN,NaN
1422316800,274.76,278.51,243.1,263.98,NaN,NaN
1422403200,263.97,266.45,225.91,236.07,NaN,NaN
1422489600,236.07,242.18,220,235.79,NaN,NaN
1422576000,235.12,244.98,225.52,228.96,NaN,NaN
1422662400,228.98,234.8,215.75,216.9,NaN,NaN
1422748800,218.04,233,208.48,226.93,NaN,NaN
1422835200,226.93,241.98,221.79,238.47,NaN,NaN
1422921600,238.38,244.39,223.79,227.99,NaN,NaN
1423008000,227.94,231,220.02,227,NaN,NaN
1423094400,226.93,229,210.43,216.81,NaN,NaN
1423180800,216.46,225.86,210.59,223.37,NaN,NaN
1423267200,223.44,231.14,221.77,228.3,NaN,NaN
1423353600,228.78,232.89,217.28,223.88,NaN,NaN
1423440000,223.92,225.99,215,220.9,NaN,NaN
1423526400,220.91,222,215,220.42,NaN,NaN
1423612800,220.42,223.43,217.99,219.55,NaN,NaN
1423699200,219.57,223.09,218.01,223,NaN,NaN
1423785600,223.02,242.35,221.37,237,NaN,NaN
1423872000,237,259.31,236.9,256.99,NaN,NaN
1423958400,256.81,267.92,227.75,235.63,NaN,NaN
1424044800,235.61,241.23,229.2,234.7,NaN,NaN
1424131200,234.69,248.78,232.01,244.7,NaN,NaN
1424217600,244.6,247,232.01,237.37,NaN,NaN
1424304000,237.37,245.01,235.59,240.59,NaN,NaN
1424390400,240.61,249.32,239.41,245.48,NaN,NaN
1424476800,245,247.8,244,245.41,NaN,NaN
1424563200,245.84,247.42,232.48,236.5,NaN,NaN
1424649600,236.46,241,232.05,239.65,NaN,NaN
1424736000,239.63,240.97,236.07,239.55,NaN,NaN
1424822400,239.53,240.98,236,237.97,NaN,NaN
1424908800,237.99,238.55,234.01,236.84,NaN,NaN
1424995200,236.83,256.15,236.16,252.78,NaN,NaN
1425081600,252.29,254.56,245.2,253.47,NaN,NaN
1425168000,253.45,260.25,245,258.34,NaN,NaN
1425254400,257.95,277,255.61,274.93,NaN,NaN
1425340800,275.95,284.95,265.89,281,NaN,NaN
1425427200,281.03,283.88,264.94,270.78,NaN,NaN
1425513600,270.72,280.5,262.2,273.09,NaN,NaN
1425600000,273.46,276.46,269,272.68,NaN,NaN
1425686400,272.61,279.48,270,276.71,NaN,NaN
1425772800,276.71,277.57,271.12,275,NaN,NaN
1425859200,275,289,274.17,287.12,NaN,NaN
1425945600,287.12,296.8,283.96,290,NaN,NaN
1426032000,290,296.79,285.83,296.54,NaN,NaN
1426118400,296.29,297.95,289,295.31,NaN,NaN
1426204800,295.66,295.66,282.99,283.25,NaN,NaN
1426291200,283.25,287.69,280.46,282.01,NaN,NaN
1426377600,282.36,287.75,281.42,286.75,NaN,NaN
1426464000,286.79,294.26,285.78,289.27,NaN,NaN
1426550400,289.27,292.99,281.9,282.8,NaN,NaN
1426636800,282.8,284,249.02,256.45,NaN,NaN
1426723200,256.59,265.95,249,261.81,NaN,NaN
1426809600,261.97,265.27,257,261.96,NaN,NaN
1426896000,261.92,262.49,256.25,260,NaN,NaN
1426982400,260,272,259.24,267.74,NaN,NaN
1427068800,268.28,270.07,259.5,265.94,NaN,NaN
1427155200,265.98,266.52,241.84,245,NaN,NaN
1427241600,245.29,250,236.4,246.94,NaN,NaN
1427328000,246.99,253.75,244.91,249.23,NaN,NaN
1427414400,249.23,250.52,245.12,247.94,NaN,NaN
1427500800,247.93,253.83,247.25,252.87,NaN,NaN
1427587200,252.91,252.96,239.96,242,NaN,NaN
1427673600,242.41,248.86,236.52,247.95,NaN,NaN
1427760000,247.95,248.59,238.55,244.24,NaN,NaN
1427846400,243.93,246.83,239.32,246.69,NaN,NaN
1427932800,246.68,256.96,244.52,253.28,NaN,NaN
1428019200,253.22,256.67,251.23,254.19,NaN,NaN
1428105600,254.19,255.85,250.76,253.7,NaN,NaN
1428192000,253.6,261,251.65,260.54,NaN,NaN
1428278400,260.57,262.98,254,255.58,NaN,NaN
1428364800,255.54,256.62,251.5,253.72,NaN,NaN
1428451200,253.71,254.96,243.06,244.84,NaN,NaN
1428537600,244.58,246.3,238.47,243.43,NaN,NaN
1428624000,243.75,243.94,231,235.99,NaN,NaN
1428710400,235.99,239.42,233,236.15,NaN,NaN
1428796800,236.09,237.5,233.42,236.5,NaN,NaN
1428883200,236.42,236.9,219.64,223.15,NaN,NaN
1428969600,222.97,224.79,210,215.8,NaN,NaN
1429056000,215.78,222.88,214.05,222.88,NaN,NaN
1429142400,222.83,229.67,222.44,227.5,NaN,NaN
1429228800,227.36,228.29,220,222.6,NaN,NaN
1429315200,222.6,224.72,220.32,223.4,NaN,NaN
1429401600,223.35,227.35,221.91,222.54,NaN,NaN
1429488000,222.54,226.51,221.43,224.3,NaN,NaN
1429574400,224.3,236,223.91,235.74,NaN,NaN
1429660800,235.71,238.64,229.1,233.45,NaN,NaN
1429747200,233.25,236.22,232.01,235.98,NaN,NaN
1429833600,235.61,236,228,230.24,NaN,NaN
1429920000,231.04,232.29,225.7,226.12,NaN,NaN
1430006400,226.12,227.26,214.98,219.52,NaN,NaN
1430092800,219.52,229.93,217.52,227.23,NaN,NaN
1430179200,227.17,227.56,221.45,225.16,NaN,NaN
1430265600,225.18,226.99,221.81,225.48,NaN,NaN
1430352000,225.5,240,224.6,236.2,NaN,NaN
1430438400,236.47,239.23,230.51,231,NaN,NaN
1430524800,231.05,234.9,229.87,233.83,NaN,NaN
1430611200,233.83,242.25,232.31,239,NaN,NaN
1430697600,239.73,242.2,236.07,238.34,NaN,NaN
1430784000,238.22,238.78,229.66,235.12,NaN,NaN
1430870400,235.18,235.94,227.01,228.49,NaN,NaN
1430956800,228.34,240,227.35,236.87,NaN,NaN
1431043200,236.92,246.57,235.29,243.2,NaN,NaN
1431129600,243.22,247.01,238.62,241.96,NaN,NaN
1431216000,241.83,244.99,238.02,239.13,NaN,NaN
1431302400,239.13,244.51,237.99,241.3,NaN,NaN
1431388800,241.3,242,237.54,241.03,NaN,NaN
1431475200,241.03,244.14,235.06,235.97,NaN,NaN
1431561600,235.97,239.7,232.22,237.13,NaN,NaN
1431648000,237.12,239.28,235.12,237.37,NaN,NaN
1431734400,237.39,237.4,234,235.66,NaN,NaN
1431820800,235.43,237,234.15,235.97,NaN,NaN
1431907200,235.69,236.94,231.44,232.87,NaN,NaN
1431993600,233.03,234.24,230.86,231.4,NaN,NaN
1432080000,231.4,234.86,231,234.43,NaN,NaN
1432166400,234.4,236.52,233.75,235,NaN,NaN
1432252800,235,240.9,232.92,238.99,NaN,NaN
1432339200,238.8,240.67,237.4,237.76,NaN,NaN
1432425600,237.87,241.64,237.66,239.22,NaN,NaN
1432512000,239.69,240.1,233.1,235.59,NaN,NaN
1432598400,235.72,237.96,234,235.71,NaN,NaN
1432684800,235.71,237.35,234,235.17,NaN,NaN
1432771200,235.32,236.8,234.87,236.46,NaN,NaN
1432857600,236.46,236.52,234,236.03,NaN,NaN
1432944000,236.03,236.03,231,232.11,NaN,NaN
1433030400,232.11,232.51,228,228.91,NaN,NaN
1433116800,228.91,231.2,220.65,223.51,NaN,NaN
1433203200,223.5,226.38,221.34,225.18,NaN,NaN
1433289600,225.17,226.99,222.57,224.27,NaN,NaN
1433376000,224.8,225.98,222,222.99,NaN,NaN
1433462400,222.99,225.9,219.03,224.4,NaN,NaN
1433548800,224.4,225.26,223.07,224.99,NaN,NaN
1433635200,224.95,225.48,221.86,222.7,NaN,NaN
1433721600,222.65,229.4,222.31,228.17,NaN,NaN
1433808000,228.05,230.79,226.67,228.7,NaN,NaN
1433894400,228.7,229.75,226.83,227.88,NaN,NaN
1433980800,227.8,229.57,227.25,229.03,NaN,NaN
1434067200,229.14,230.7,228.29,229.4,NaN,NaN
1434153600,229.3,232.04,228.06,231.64,NaN,NaN
1434240000,231.64,234,230.94,232.09,NaN,NaN
1434326400,232.08,237.09,231.55,235.92,NaN,NaN
1434412800,236,252.05,234.35,250.09,NaN,NaN
1434499200,250.02,257.39,243.2,247.76,NaN,NaN
1434585600,247.76,251.58,240,248.4,NaN,NaN
1434672000,248.45,249.93,242.14,243.7,NaN,NaN
1434758400,243.75,245.56,239.93,244.76,NaN,NaN
1434844800,244.65,245,241.06,243.64,NaN,NaN
1434931200,243.6,247.99,242.64,246,NaN,NaN
1435017600,245.99,247.25,242.14,243.74,NaN,NaN
1435104000,243.85,243.99,238.2,240.19,NaN,NaN
1435190400,240.19,242.9,239.18,241.98,NaN,NaN
1435276800,242.08,243.44,240,242.98,NaN,NaN
1435363200,242.98,252,242.36,251.21,NaN,NaN
1435449600,251.28,251.28,247.04,248.62,NaN,NaN
1435536000,248.63,256.94,248.3,256.04,NaN,NaN
1435622400,256.04,268,255,262.5,NaN,NaN
1435708800,262.58,265.25,253.81,257.62,NaN,NaN
1435795200,257.62,260.77,253.19,254.54,NaN,NaN
1435881600,254.49,256.44,252.4,255.92,NaN,NaN
1435968000,256.06,261.28,254.05,260.2,NaN,NaN
1436054400,260.16,274.74,258.75,271.5,NaN,NaN
1436140800,271.39,278.54,267.13,268.51,NaN,NaN
1436227200,268.53,271.69,264.01,265.51,NaN,NaN
1436313600,265.67,273.24,263.01,270.63,NaN,NaN
1436400000,270.41,271.98,265.92,268.92,NaN,NaN
1436486400,268.98,294.71,268.63,285.23,NaN,NaN
1436572800,284.63,298.05,283.88,291.64,NaN,NaN
1436659200,291.65,317.99,291.65,310.55,NaN,NaN
1436745600,310.55,310.73,281,292.68,NaN,NaN
1436832000,292.54,297.13,286.02,287.55,NaN,NaN
1436918400,287.49,293.7,284.29,285.67,NaN,NaN
1437004800,285.67,292.4,274.92,277.89,NaN,NaN
1437091200,277.74,280.73,272.31,279.43,NaN,NaN
1437177600,279.15,283,276.73,276.79,NaN,NaN
1437264000,276.74,278.1,275.01,275.47,NaN,NaN
1437350400,275.08,279.35,274.62,278.96,NaN,NaN
1437436800,278.95,281.07,276.28,276.76,NaN,NaN
1437523200,276.49,277.97,275,277.68,NaN,NaN
1437609600,277.5,278.55,275.79,276.61,NaN,NaN
1437696000,276.61,290.53,275.9,289.01,NaN,NaN
1437782400,289,292,286.5,288.78,NaN,NaN
1437868800,288.97,294,287.41,293.19,NaN,NaN
1437955200,292.85,297.44,286.43,294.29,NaN,NaN
1438041600,294.03,297,292.19,294.01,NaN,NaN
1438128000,294.01,294.57,287.27,289.85,NaN,NaN
